,path,split_path,size
1055,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856716832_f8fce71b99.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856716832_f8fce71b99.jpg']",1
1056,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856716542_39446d289c.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856716542_39446d289c.jpg']",1
1057,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49855875633_1a23048df3.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49855875633_1a23048df3.jpg']",1
1058,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49855875328_ffae0244f2.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49855875328_ffae0244f2.jpg']",1
1059,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856413851_0f818a5dfb.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856413851_0f818a5dfb.jpg']",1
1060,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856413231_15093e92cf.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856413231_15093e92cf.jpg']",1
1061,Eukarya/Metazoa/Cnidaria/Scyphozoa/Coronatae/Periphyllidae/Periphylla/https:||live.staticflickr.com|65535|49887978222_e944cc200c.jpg,"['Eukarya', 'Metazoa', 'Cnidaria', 'Scyphozoa', 'Coronatae', 'Periphyllidae', 'Periphylla', 'https:||live.staticflickr.com|65535|49887978222_e944cc200c.jpg']",1
1062,Eukarya/Metazoa/Cnidaria/Staurozoa/Stauromedusae/Lucernariidae/Lucernaria/https:||live.staticflickr.com|65535|49887977797_da8d1e85a1.jpg,"['Eukarya', 'Metazoa', 'Cnidaria', 'Staurozoa', 'Stauromedusae', 'Lucernariidae', 'Lucernaria', 'https:||live.staticflickr.com|65535|49887977797_da8d1e85a1.jpg']",1
1063,Eukarya/Metazoa/Cnidaria/Hydrozoa/Leptothecata/Mitrocomidae,"['Eukarya', 'Metazoa', 'Cnidaria', 'Hydrozoa', 'Leptothecata', 'Mitrocomidae']",1
1064,Eukarya/Metazoa/Cnidaria/Hydrozoa/Leptothecata/Mitrocomidae/Mitrocoma,"['Eukarya', 'Metazoa', 'Cnidaria', 'Hydrozoa', 'Leptothecata', 'Mitrocomidae', 'Mitrocoma']",1
1065,Eukarya/Metazoa/Cnidaria/Hydrozoa/Leptothecata/Mitrocomidae/Mitrocoma/https:||live.staticflickr.com|65535|49887974612_80128a8aab.jpg,"['Eukarya', 'Metazoa', 'Cnidaria', 'Hydrozoa', 'Leptothecata', 'Mitrocomidae', 'Mitrocoma', 'https:||live.staticflickr.com|65535|49887974612_80128a8aab.jpg']",1
1066,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Myrtales,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Myrtales']",27
1067,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Myrtales/Lythraceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Myrtales', 'Lythraceae']",3
1068,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Myrtales/Lythraceae/Trapa,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Myrtales', 'Lythraceae', 'Trapa']",1
1069,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Myrtales/Lythraceae/Trapa/https:||live.staticflickr.com|65535|49862749208_ffe313f0d6.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Myrtales', 'Lythraceae', 'Trapa', 'https:||live.staticflickr.com|65535|49862749208_ffe313f0d6.jpg']",1
1070,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49855874223_b083330456.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49855874223_b083330456.jpg']",1
1071,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49855873778_bf805c6abe.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49855873778_bf805c6abe.jpg']",1
1072,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856412106_99d8579a8f.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856412106_99d8579a8f.jpg']",1
1073,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Fumaria/https:||live.staticflickr.com|65535|49856713592_7c9baeb0ba.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Fumaria', 'https:||live.staticflickr.com|65535|49856713592_7c9baeb0ba.jpg']",1
1074,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Corydalis,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Corydalis']",1
1075,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Corydalis/https:||live.staticflickr.com|65535|49856411551_4eb0823feb.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Corydalis', 'https:||live.staticflickr.com|65535|49856411551_4eb0823feb.jpg']",1
1076,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Corydalis/https:||live.staticflickr.com|65535|49856712867_6d7e582097.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Corydalis', 'https:||live.staticflickr.com|65535|49856712867_6d7e582097.jpg']",1
1077,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Corydalis/https:||live.staticflickr.com|65535|49855872243_18b4f5f7e5.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Corydalis', 'https:||live.staticflickr.com|65535|49855872243_18b4f5f7e5.jpg']",1
1078,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver']",1
1079,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver/https:||live.staticflickr.com|65535|49856712262_9450872cdb.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver', 'https:||live.staticflickr.com|65535|49856712262_9450872cdb.jpg']",1
1080,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver/https:||live.staticflickr.com|65535|49855871463_276a5762a9.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver', 'https:||live.staticflickr.com|65535|49855871463_276a5762a9.jpg']",1
1081,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver/https:||live.staticflickr.com|65535|49856410026_49fce3acf8.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver', 'https:||live.staticflickr.com|65535|49856410026_49fce3acf8.jpg']",1
1082,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver/https:||live.staticflickr.com|65535|49856711327_b143c525b8.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver', 'https:||live.staticflickr.com|65535|49856711327_b143c525b8.jpg']",1
1083,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Papaver/https:||live.staticflickr.com|65535|49855870508_163382f8c0.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Papaver', 'https:||live.staticflickr.com|65535|49855870508_163382f8c0.jpg']",1
1084,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Meconopsis,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Meconopsis']",1
1085,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Meconopsis/https:||live.staticflickr.com|65535|49855870138_d79a004b9c.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Meconopsis', 'https:||live.staticflickr.com|65535|49855870138_d79a004b9c.jpg']",1
1086,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Glaucium,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Glaucium']",1
1087,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Glaucium/https:||live.staticflickr.com|65535|49855869748_d3d9edd327.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Glaucium', 'https:||live.staticflickr.com|65535|49855869748_d3d9edd327.jpg']",1
1088,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Roemeria,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Roemeria']",1
1089,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Roemeria/https:||live.staticflickr.com|65535|49855869173_cbf0e1c71b.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Roemeria', 'https:||live.staticflickr.com|65535|49855869173_cbf0e1c71b.jpg']",1
1090,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Chelidonium,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Chelidonium']",1
1091,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Papaveraceae/Chelidonium/https:||live.staticflickr.com|65535|49856709362_cd1a787743.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Papaveraceae', 'Chelidonium', 'https:||live.staticflickr.com|65535|49856709362_cd1a787743.jpg']",1
1092,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Saxifragales,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Saxifragales']",27
1093,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Saxifragales/Paeoniaceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Saxifragales', 'Paeoniaceae']",2
1094,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Saxifragales/Paeoniaceae/Paeonia,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Saxifragales', 'Paeoniaceae', 'Paeonia']",1
1095,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Saxifragales/Paeoniaceae/Paeonia/https:||live.staticflickr.com|65535|49856407316_4185ab475d.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Saxifragales', 'Paeoniaceae', 'Paeonia', 'https:||live.staticflickr.com|65535|49856407316_4185ab475d.jpg']",1
1096,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Berberidaceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Berberidaceae']",7
1097,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Berberidaceae/Epimedium,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Berberidaceae', 'Epimedium']",1
1098,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Berberidaceae/Epimedium/https:||live.staticflickr.com|65535|49855868158_609ac29208.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Berberidaceae', 'Epimedium', 'https:||live.staticflickr.com|65535|49855868158_609ac29208.jpg']",1
1099,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Berberidaceae/Berberis,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Berberidaceae', 'Berberis']",1
1100,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Berberidaceae/Berberis/https:||live.staticflickr.com|65535|49856708357_b0f08db8f1.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Berberidaceae', 'Berberis', 'https:||live.staticflickr.com|65535|49856708357_b0f08db8f1.jpg']",1
1101,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae']",88
1102,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Actaea,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Actaea']",1
1103,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Actaea/https:||live.staticflickr.com|65535|49856406271_6ec4635167.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Actaea', 'https:||live.staticflickr.com|65535|49856406271_6ec4635167.jpg']",1
1104,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus']",1
1105,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856707402_2320510b04.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856707402_2320510b04.jpg']",1
1106,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856405616_1723e6d9f2.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856405616_1723e6d9f2.jpg']",1
1107,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855866398_346ed76676.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855866398_346ed76676.jpg']",1
1108,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856706452_a9c7ddcea9.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856706452_a9c7ddcea9.jpg']",1
1109,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856404726_4c36ce34df.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856404726_4c36ce34df.jpg']",1
1110,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855865533_df2c12ed11.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855865533_df2c12ed11.jpg']",1
1111,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856705412_0621d6c78f.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856705412_0621d6c78f.jpg']",1
1112,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856705102_72d11e6e68.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856705102_72d11e6e68.jpg']",1
1113,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855864368_e017302e5a.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855864368_e017302e5a.jpg']",1
1114,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856403021_8cf2bcec8a.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856403021_8cf2bcec8a.jpg']",1
1115,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855863768_8d80908c20.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855863768_8d80908c20.jpg']",1
1116,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855863408_9124c8a9f8.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855863408_9124c8a9f8.jpg']",1
1117,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855862968_55821318f5.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855862968_55821318f5.jpg']",1
1118,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856401731_426f5559ab.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856401731_426f5559ab.jpg']",1
1119,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855862243_a18b030e22.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855862243_a18b030e22.jpg']",1
1120,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856401011_92c0c933bb.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856401011_92c0c933bb.jpg']",1
1121,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855861483_5066d0487b.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855861483_5066d0487b.jpg']",1
1122,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855861198_40b651eee8.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855861198_40b651eee8.jpg']",1
1123,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855860428_bd5aea0a50.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855860428_bd5aea0a50.jpg']",1
1124,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856399406_39af0e4e82.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856399406_39af0e4e82.jpg']",1
1125,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856399071_cdca3ce010.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856399071_cdca3ce010.jpg']",1
1126,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856699952_ab689debb9.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856699952_ab689debb9.jpg']",1
1127,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856699597_3f66144a1b.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856699597_3f66144a1b.jpg']",1
1128,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856698957_41f9544863.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856698957_41f9544863.jpg']",1
1129,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856397331_4435178251.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856397331_4435178251.jpg']",1
1130,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855857703_c133f17403.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855857703_c133f17403.jpg']",1
1131,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856396711_d888635684.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856396711_d888635684.jpg']",1
1132,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855860813_41ed9ed52b.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855860813_41ed9ed52b.jpg']",1
1133,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856699332_dc56f2c742.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856699332_dc56f2c742.jpg']",1
1134,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49856697607_1048b3c209.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49856697607_1048b3c209.jpg']",1
1135,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ranunculales/Ranunculaceae/Ranunculus/https:||live.staticflickr.com|65535|49855856733_42bdd84dec.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ranunculales', 'Ranunculaceae', 'Ranunculus', 'https:||live.staticflickr.com|65535|49855856733_42bdd84dec.jpg']",1
