,path,split_path,size
28,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ericales/Ericaceae/Pieris,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ericales', 'Ericaceae', 'Pieris']",1
29,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ericales/Ericaceae/Pieris/https:||live.staticflickr.com|65535|51049725732_54339b91a4.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ericales', 'Ericaceae', 'Pieris', 'https:||live.staticflickr.com|65535|51049725732_54339b91a4.jpg']",1
30,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae']",52
31,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio']",1
32,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049641611_aeda1793ea.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049641611_aeda1793ea.jpg']",1
33,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048912558_948a69f03c.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048912558_948a69f03c.jpg']",1
34,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049724882_a3e16e37e2.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049724882_a3e16e37e2.jpg']",1
35,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049640731_65d8a502c2.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049640731_65d8a502c2.jpg']",1
36,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048911683_ebd363fa43.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048911683_ebd363fa43.jpg']",1
37,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049724027_aea76c2891.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049724027_aea76c2891.jpg']",1
38,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048911133_a7f8f86ed7.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048911133_a7f8f86ed7.jpg']",1
39,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049639541_63041546ca.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049639541_63041546ca.jpg']",1
40,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048910668_118063111f.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048910668_118063111f.jpg']",1
41,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048910298_9f735cae67.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048910298_9f735cae67.jpg']",1
42,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049722517_3491d33c2d.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049722517_3491d33c2d.jpg']",1
43,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049638446_131d810532.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049638446_131d810532.jpg']",1
44,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51049638191_2825b924df.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51049638191_2825b924df.jpg']",1
